Data in compression and reflection:
 Theta  Beta  Mach  Pressure Ratio  Rho Ratio  Temperature Ratio  Rho Out     P Out   T Out      a       u
   6.0 12.90  5.79            2.52       1.89               1.33     0.03   3017.62  301.72 348.18 2014.69
   7.0 15.18  4.89            2.51       1.89               1.33     0.07   7577.25  401.35 401.58 1964.39
   8.0 17.82  4.12            2.45       1.86               1.32     0.12  18549.85  529.09 461.07 1897.95
  21.0 33.20  2.55            5.77       3.03               1.91     0.36 107047.33 1008.83 636.67 1626.35
------------------------------------------------------------------------------------------------------
Data in combustion chamber:
 Pressure Ratio  Rho Ratio  Temperature Ratio  Total Temperature Ratio  Required Heat to add  Heat ratio Out
           3.75       1.43               2.62                     1.41              21210.55       368013.37
------------------------------------------------------------------------------------------------------
Exhaust data:
 Final Area  Mach  Prandtl-Meyer Angle  Exhaust Lenght
       0.07  1.15                 2.35            0.92
       0.12  1.37                 8.16            0.44
       0.17  1.51                12.17            0.41
       0.22  1.61                15.12            0.42
       0.27  1.69                17.43            0.44
       0.32  1.75                19.32            0.46
       0.37  1.81                20.91            0.49
       0.42  1.85                22.28            0.52
       0.47  1.90                23.47            0.55
       0.52  1.93                24.54            0.57
       0.57  1.97                25.49            0.60
       0.62  2.00                26.36            0.63
       0.68  2.03                27.15            0.66
       0.73  2.05                27.88            0.69
       0.78  2.08                28.56            0.71
       0.83  2.10                29.18            0.74
       0.88  2.13                29.77            0.76
       0.93  2.15                30.32            0.79
       0.98  2.17                30.83            0.82
       1.03  2.18                31.32            0.84
       1.08  2.20                31.78            0.87
       1.13  2.22                32.22            0.89
       1.18  2.24                32.64            0.92
       1.23  2.25                33.03            0.94
       1.28  2.27                33.41            0.97
       1.33  2.28                33.78            0.99
       1.38  2.29                34.12            1.01
       1.43  2.31                34.46            1.04
       1.48  2.32                34.78            1.06
------------------------------------------------------------------------------------------------------
